"storm","city","wind_mph","wind_kmph","label","cityimpactday","year","norm_count_total","impact_count_total","change_count_percent","norm_displacement_total_km","impact_displacement_total_km","change_displacement_total_km","change_displacement_total_degree","change_displacement_total_degree_abs","change_displacement_percent","change_displacement_percent_abs","change_step_displacement_percent","change_step_displacement_percent_abs","step_type","norm_step_count","norm_step_avg_km","norm_step_displacement_km","impact_step_count","impact_step_avg_km","change_step_avg_km","change_step_avg_km_abs","norm_step_avg_degrees","impact_step_avg_degrees","change_step_avg_degrees","change_step_avg_degrees_abs","impact_step_displacement_km","change_displacement_km","change_displacement_km_abs","change_displacement_degrees","change_displacement_degrees_abs","norm_step_count_percent","impact_step_count_percent","change_step_count_percent","change_step_count_percent_abs","norm_step_distance_proportionality","impact_step_distance_proportionality","change_step_distance_proportionality","change_step_distance_proportionality_abs"
"Irma","Tampa","70","112.65","70 - Irma - Tampa","2017-09-11","2017","2097","513","-75.0000","38154.2000","8838.4500","-29315.750000","-265.014380","265.0144","-76.8349","76.8349","-52.8912","52.8912",3,"29","0.6784","19.6738","12","0.7723","-0.093900","0.093900","0.006133","0.006982","-0.000849","0.000849","9.2681","-10.4057","10.405700","-0.094100","0.094100","0.01382928","0.02339181","-0.00956253","0.00956253","0.00051564","0.00104861","-0.00053297","0.00053297"
"Irma","Tampa","70","112.65","70 - Irma - Tampa","2017-09-11","2017","2097","513","-75.0000","38154.2000","8838.4500","-29315.750000","-265.014380","265.0144","-76.8349","76.8349","-77.5271","77.5271",4,"267","3.0296","808.9020","60","3.0297","-0.000100","0.000100","0.027388","0.027388","-0.000001","0.000001","181.7840","-627.1180","627.118000","-5.669100","5.669100","0.12732475","0.11695906","0.01036569","0.01036569","0.02120086","0.02056741","0.00063346","0.00063346"
"Irma","Tampa","70","112.65","70 - Irma - Tampa","2017-09-11","2017","2097","513","-75.0000","38154.2000","8838.4500","-29315.750000","-265.014380","265.0144","-76.8349","76.8349","-80.6031","80.6031",5,"295","7.4092","2185.7000","57","7.4379","-0.028700","0.028700","0.066979","0.067239","-0.000259","0.000259","423.9590","-1761.7410","1761.741000","-15.926200","15.926200","0.14067716","0.11111111","0.02956605","0.02956605","0.05728596","0.04796757","0.00931839","0.00931839"
"Irma","Tampa","70","112.65","70 - Irma - Tampa","2017-09-11","2017","2097","513","-75.0000","38154.2000","8838.4500","-29315.750000","-265.014380","265.0144","-76.8349","76.8349","-76.5982","76.5982",6,"1336","26.2895","35122.8000","354","23.2186","3.070900","3.070900","0.237657","0.209896","0.027761","0.027761","8219.3700","-26903.4300","26903.430000","-243.206600","243.206600","0.63710062","0.69005848","-0.05295786","0.05295786","0.92054872","0.92995604","-0.00940732","0.00940732"
"Maria","San Juan","70","112.65","70 - Maria - San Juan","2017-09-20","2017","255","86","-66.0000","1984.8900","556.6070","-1428.283000","-12.911678","12.9117","-71.9578","71.9578","20.5765","20.5765",1,"11","0.0274","0.3018","8","0.0455","-0.018100","0.018100","0.000248","0.000411","-0.000164","0.000164","0.3639","0.0621","0.062100","0.000600","0.000600","0.04313725","0.09302326","-0.04988600","0.04988600","0.00015205","0.00065378","-0.00050173","0.00050173"
"Maria","San Juan","70","112.65","70 - Maria - San Juan","2017-09-20","2017","255","86","-66.0000","1984.8900","556.6070","-1428.283000","-12.911678","12.9117","-71.9578","71.9578","-14.6636","14.6636",2,"10","0.3463","3.4630","10","0.2955","0.050800","0.050800","0.003131","0.002671","0.000459","0.000459","2.9552","-0.5078","0.507800","-0.004600","0.004600","0.03921569","0.11627907","-0.07706338","0.07706338","0.00174468","0.00530931","-0.00356463","0.00356463"
"Maria","San Juan","70","112.65","70 - Maria - San Juan","2017-09-20","2017","255","86","-66.0000","1984.8900","556.6070","-1428.283000","-12.911678","12.9117","-71.9578","71.9578","-58.7868","58.7868",3,"8","0.6699","5.3592","3","0.7362","-0.066300","0.066300","0.006056","0.006655","-0.000599","0.000599","2.2087","-3.1505","3.150500","-0.028500","0.028500","0.03137255","0.03488372","-0.00351117","0.00351117","0.00270000","0.00396815","-0.00126815","0.00126815"
"Maria","San Juan","70","112.65","70 - Maria - San Juan","2017-09-20","2017","255","86","-66.0000","1984.8900","556.6070","-1428.283000","-12.911678","12.9117","-71.9578","71.9578","-77.3432","77.3432",4,"68","2.8007","190.4490","19","2.2710","0.529700","0.529700","0.025318","0.020530","0.004788","0.004788","43.1497","-147.2993","147.299300","-1.331600","1.331600","0.26666667","0.22093023","0.04573643","0.04573643","0.09594940","0.07752274","0.01842666","0.01842666"
"Maria","San Juan","70","112.65","70 - Maria - San Juan","2017-09-20","2017","255","86","-66.0000","1984.8900","556.6070","-1428.283000","-12.911678","12.9117","-71.9578","71.9578","-75.4359","75.4359",5,"78","6.7972","530.1800","19","6.8544","-0.057200","0.057200","0.061447","0.061964","-0.000517","0.000517","130.2340","-399.9460","399.946000","-3.615500","3.615500","0.30588235","0.22093023","0.08495212","0.08495212","0.26710800","0.23397837","0.03312963","0.03312963"
"Maria","San Juan","70","112.65","70 - Maria - San Juan","2017-09-20","2017","255","86","-66.0000","1984.8900","556.6070","-1428.283000","-12.911678","12.9117","-71.9578","71.9578","-69.9081","69.9081",6,"80","15.6893","1255.1400","27","13.9887","1.700600","1.700600","0.141831","0.126458","0.015373","0.015373","377.6960","-877.4440","877.444000","-7.932100","7.932100","0.31372549","0.31395349","-0.00022800","0.00022800","0.63234738","0.67856854","-0.04622116","0.04622116"
"Kalmaegi","Calasiao","85","136.79","85 - Kalmaegi - Calasiao","2014-09-14","2014","2053","162","-92.0000","1699.8200","119.5340","-1580.286000","-14.285785","14.2858","-92.9678","92.9678","-94.4758","94.4758",1,"1259","0.0167","21.0746","89","0.0131","0.003600","0.003600","0.000151","0.000118","0.000033","0.000033","1.1642","-19.9104","19.910400","-0.180000","0.180000","0.61324890","0.54938272","0.06386619","0.06386619","0.01239814","0.00973949","0.00265865","0.00265865"
