"storm","location","city","wind","city_radius","normaldays","normalstart","cityimpactday","day","days_after_storm","totaldisplacement","avgdisplacement","posts","radius_of_gyration","centroid"
"Haiyan","Tacloban - Haiyan 2013-11-08 00:00:00+00","Tacloban",230,"11",4,"2013-10-28 00:00:00+00","2013-11-08 00:00:00+00","2013-10-28",-11,"0.71153","0.35576","2","0.17788","0101000020E6100000000000E02E3F5F400000008026522640"
"Haiyan","Tacloban - Haiyan 2013-11-08 00:00:00+00","Tacloban",230,"11",4,"2013-10-28 00:00:00+00","2013-11-08 00:00:00+00","2013-10-28",-11,"0.08835","0.04418","2","0.02218","0101000020E6100000000000F026405F40000000D06F7B2640"
"Haiyan","Tacloban - Haiyan 2013-11-08 00:00:00+00","Tacloban",230,"11",4,"2013-10-28 00:00:00+00","2013-11-08 00:00:00+00","2013-10-28",-11,"4.01660","2.00830","2","1.31912","0101000020E6100000000000F0E53F5F4000000040F8732640"
"Haiyan","Tacloban - Haiyan 2013-11-08 00:00:00+00","Tacloban",230,"11",4,"2013-10-28 00:00:00+00","2013-11-08 00:00:00+00","2013-10-29",-10,"13.50090","1.12508","12","0.73553","0101000020E6100000555555FD1E405F400000009871782640"
"Haiyan","Tacloban - Haiyan 2013-11-08 00:00:00+00","Tacloban",230,"11",4,"2013-10-28 00:00:00+00","2013-11-08 00:00:00+00","2013-10-29",-10,"16.04140","2.67357","6","0.36598","0101000020E61000000000002001405F40555555F5C8752640"
"Haiyan","Tacloban - Haiyan 2013-11-08 00:00:00+00","Tacloban",230,"11",4,"2013-10-28 00:00:00+00","2013-11-08 00:00:00+00","2013-10-29",-10,"7.79700","1.55940","5","1.30528","0101000020E6100000000000C04D405F400000004074752640"
"Haiyan","Tacloban - Haiyan 2013-11-08 00:00:00+00","Tacloban",230,"11",4,"2013-10-28 00:00:00+00","2013-11-08 00:00:00+00","2013-10-29",-10,"6.32730","1.58182","4","0.23127","0101000020E6100000000000A02F405F40000000584F7C2640"
"Haiyan","Tacloban - Haiyan 2013-11-08 00:00:00+00","Tacloban",230,"11",4,"2013-10-28 00:00:00+00","2013-11-08 00:00:00+00","2013-10-29",-10,"3.40408","0.85102","4","0.42236","0101000020E61000000000005056405F400000008820552640"
"Haiyan","Tacloban - Haiyan 2013-11-08 00:00:00+00","Tacloban",230,"11",4,"2013-10-28 00:00:00+00","2013-11-08 00:00:00+00","2013-10-29",-10,"8.55958","2.85319","3","1.26551","0101000020E6100000ABAAAACA2A405F400000000087762640"
"Haiyan","Tacloban - Haiyan 2013-11-08 00:00:00+00","Tacloban",230,"11",4,"2013-10-28 00:00:00+00","2013-11-08 00:00:00+00","2013-10-29",-10,"5.87908","2.93954","2","1.83876","0101000020E6100000000000106F405F400000005025752640"
"Haiyan","Tacloban - Haiyan 2013-11-08 00:00:00+00","Tacloban",230,"11",4,"2013-10-28 00:00:00+00","2013-11-08 00:00:00+00","2013-10-29",-10,"0.08936","0.04468","2","0.02234","0101000020E610000000000010643F5F400000005072512640"
"Haiyan","Tacloban - Haiyan 2013-11-08 00:00:00+00","Tacloban",230,"11",4,"2013-10-28 00:00:00+00","2013-11-08 00:00:00+00","2013-10-29",-10,"1.30306","0.65153","2","0.30218","0101000020E61000000000008059405F4000000000C27F2640"
"Haiyan","Tacloban - Haiyan 2013-11-08 00:00:00+00","Tacloban",230,"11",4,"2013-10-28 00:00:00+00","2013-11-08 00:00:00+00","2013-10-29",-10,"5.07748","2.53874","2","1.22178","0101000020E610000000000000EB405F4000000020CC6B2640"
"Haiyan","Tacloban - Haiyan 2013-11-08 00:00:00+00","Tacloban",230,"11",4,"2013-10-28 00:00:00+00","2013-11-08 00:00:00+00","2013-10-29",-10,"4.68814","2.34407","2","1.11191","0101000020E6100000000000404F405F40000000A018762640"
"Haiyan","Tacloban - Haiyan 2013-11-08 00:00:00+00","Tacloban",230,"11",4,"2013-10-28 00:00:00+00","2013-11-08 00:00:00+00","2013-10-29",-10,"0.18165","0.09083","2","0.04541","0101000020E6100000000000D0CF3E5F4000000070727D2640"
"Haiyan","Tacloban - Haiyan 2013-11-08 00:00:00+00","Tacloban",230,"11",4,"2013-10-28 00:00:00+00","2013-11-08 00:00:00+00","2013-10-29",-10,"0.94623","0.47312","2","0.03537","0101000020E6100000000000E085405F40000000C03F6A2640"
"Haiyan","Tacloban - Haiyan 2013-11-08 00:00:00+00","Tacloban",230,"11",4,"2013-10-28 00:00:00+00","2013-11-08 00:00:00+00","2013-10-29",-10,"4.34989","2.17494","2","1.08759","0101000020E6100000000000E0733F5F40000000B08D7C2640"
"Haiyan","Tacloban - Haiyan 2013-11-08 00:00:00+00","Tacloban",230,"11",4,"2013-10-28 00:00:00+00","2013-11-08 00:00:00+00","2013-10-29",-10,"2.84548","1.42274","2","1.26865","0101000020E61000000000003046405F400000007075752640"
"Haiyan","Tacloban - Haiyan 2013-11-08 00:00:00+00","Tacloban",230,"11",4,"2013-10-28 00:00:00+00","2013-11-08 00:00:00+00","2013-10-30",-9,"11.89840","0.84988","14","1.12549","0101000020E6100000B76DDBB6B9405F40DBB66DDB63792640"
"Haiyan","Tacloban - Haiyan 2013-11-08 00:00:00+00","Tacloban",230,"11",4,"2013-10-28 00:00:00+00","2013-11-08 00:00:00+00","2013-10-30",-9,"3.38657","0.48380","7","0.24508","0101000020E6100000DBB66DDB44405F40B76DDB5695542640"
"Haiyan","Tacloban - Haiyan 2013-11-08 00:00:00+00","Tacloban",230,"11",4,"2013-10-28 00:00:00+00","2013-11-08 00:00:00+00","2013-10-30",-9,"7.22104","1.20351","6","0.51791","0101000020E6100000ABAAAABA32405F40ABAAAA3A5E6C2640"
"Haiyan","Tacloban - Haiyan 2013-11-08 00:00:00+00","Tacloban",230,"11",4,"2013-10-28 00:00:00+00","2013-11-08 00:00:00+00","2013-10-30",-9,"9.83070","1.63845","6","0.32250","0101000020E6100000555555B55D405F40000000C024592640"
"Haiyan","Tacloban - Haiyan 2013-11-08 00:00:00+00","Tacloban",230,"11",4,"2013-10-28 00:00:00+00","2013-11-08 00:00:00+00","2013-10-30",-9,"17.44910","2.90818","6","1.00965","0101000020E6100000000000506A405F405555557532792640"
"Haiyan","Tacloban - Haiyan 2013-11-08 00:00:00+00","Tacloban",230,"11",4,"2013-10-28 00:00:00+00","2013-11-08 00:00:00+00","2013-10-30",-9,"4.95027","0.82505","6","0.98126","0101000020E6100000ABAAAA1A81405F40000000104D792640"
"Haiyan","Tacloban - Haiyan 2013-11-08 00:00:00+00","Tacloban",230,"11",4,"2013-10-28 00:00:00+00","2013-11-08 00:00:00+00","2013-10-30",-9,"3.67316","0.73463","5","0.06494","0101000020E61000009A9999B931405F4000000080B0652640"
"Haiyan","Tacloban - Haiyan 2013-11-08 00:00:00+00","Tacloban",230,"11",4,"2013-10-28 00:00:00+00","2013-11-08 00:00:00+00","2013-10-30",-9,"0.84959","0.21240","4","0.17786","0101000020E6100000000000289C3D5F40000000D01E822640"
"Haiyan","Tacloban - Haiyan 2013-11-08 00:00:00+00","Tacloban",230,"11",4,"2013-10-28 00:00:00+00","2013-11-08 00:00:00+00","2013-10-30",-9,"14.46370","4.82125","3","1.56692","0101000020E610000000000000E5405F40000000C07A6D2640"
"Haiyan","Tacloban - Haiyan 2013-11-08 00:00:00+00","Tacloban",230,"11",4,"2013-10-28 00:00:00+00","2013-11-08 00:00:00+00","2013-10-30",-9,"4.50601","1.50200","3","0.07065","0101000020E6100000555555D5A0405F40555555D5B2752640"
"Haiyan","Tacloban - Haiyan 2013-11-08 00:00:00+00","Tacloban",230,"11",4,"2013-10-28 00:00:00+00","2013-11-08 00:00:00+00","2013-10-30",-9,"3.60940","1.20313","3","0.06337","0101000020E6100000ABAAAAAA3C405F4055555535C8782640"
"Haiyan","Tacloban - Haiyan 2013-11-08 00:00:00+00","Tacloban",230,"11",4,"2013-10-28 00:00:00+00","2013-11-08 00:00:00+00","2013-10-30",-9,"1.25909","0.41970","3","0.26483","0101000020E6100000000000C013405F4000000080C87A2640"
"Haiyan","Tacloban - Haiyan 2013-11-08 00:00:00+00","Tacloban",230,"11",4,"2013-10-28 00:00:00+00","2013-11-08 00:00:00+00","2013-10-30",-9,"4.50855","2.25428","2","1.12711","0101000020E6100000000000101F405F40000000B02C6A2640"
"Haiyan","Tacloban - Haiyan 2013-11-08 00:00:00+00","Tacloban",230,"11",4,"2013-10-28 00:00:00+00","2013-11-08 00:00:00+00","2013-10-30",-9,"3.95076","1.97538","2","0.60349","0101000020E6100000000000F050405F40000000D0816C2640"
"Haiyan","Tacloban - Haiyan 2013-11-08 00:00:00+00","Tacloban",230,"11",4,"2013-10-28 00:00:00+00","2013-11-08 00:00:00+00","2013-10-30",-9,"4.64364","2.32182","2","0.04836","0101000020E6100000000000A084405F40000000A0746A2640"
"Haiyan","Tacloban - Haiyan 2013-11-08 00:00:00+00","Tacloban",230,"11",4,"2013-10-28 00:00:00+00","2013-11-08 00:00:00+00","2013-10-30",-9,"9.18998","4.59499","2","2.29530","0101000020E6100000000000E02F405F4000000030A5732640"
"Haiyan","Tacloban - Haiyan 2013-11-08 00:00:00+00","Tacloban",230,"11",4,"2013-10-28 00:00:00+00","2013-11-08 00:00:00+00","2013-10-30",-9,"0.18165","0.09083","2","0.04541","0101000020E6100000000000D0CF3E5F4000000070727D2640"
"Haiyan","Tacloban - Haiyan 2013-11-08 00:00:00+00","Tacloban",230,"11",4,"2013-10-28 00:00:00+00","2013-11-08 00:00:00+00","2013-10-30",-9,"2.31130","1.15565","2","0.06673","0101000020E61000000000008000405F40000000F0AA642640"
"Haiyan","Tacloban - Haiyan 2013-11-08 00:00:00+00","Tacloban",230,"11",4,"2013-10-28 00:00:00+00","2013-11-08 00:00:00+00","2013-10-30",-9,"4.32981","2.16491","2","0.57058","0101000020E6100000000000A03D405F4000000010CA7D2640"
"Haiyan","Tacloban - Haiyan 2013-11-08 00:00:00+00","Tacloban",230,"11",4,"2013-10-28 00:00:00+00","2013-11-08 00:00:00+00","2013-10-30",-9,"10.51330","5.25664","2","2.62830","0101000020E610000000000010E7405F4000000040ED722640"
"Haiyan","Tacloban - Haiyan 2013-11-08 00:00:00+00","Tacloban",230,"11",4,"2013-10-28 00:00:00+00","2013-11-08 00:00:00+00","2013-10-31",-8,"18.42550","1.53546","12","2.18929","0101000020E6100000ABAAAA62E13E5F40000000E8FC762640"
"Haiyan","Tacloban - Haiyan 2013-11-08 00:00:00+00","Tacloban",230,"11",4,"2013-10-28 00:00:00+00","2013-11-08 00:00:00+00","2013-10-31",-8,"4.96747","0.99349","5","0.39740","0101000020E61000009A99991954405F409A9999D90A582640"
"Haiyan","Tacloban - Haiyan 2013-11-08 00:00:00+00","Tacloban",230,"11",4,"2013-10-28 00:00:00+00","2013-11-08 00:00:00+00","2013-10-31",-8,"11.06750","2.21351","5","1.22890","0101000020E6100000CDCCCC4C68405F40666666E676752640"
